AÑO_INICIO,NOMBRE,LAT,LNG,DESCRIPCION,ENTORNO,MONTO_CONTRATO,ETAPA,TIPO,COMUNA,JURISDICCION,MANO_OBRA,PORCENTAJE_AVANCE,ID,ETAPA_DETALLE,AREA_RESPONSABLE,BARRIO,CALLE_1,SECCION,MANZANA,PARCELA,DIRECCION,FECHA_INICIO,FECHA_FIN,PLAZO_MESES,IMAGEN_1,IMAGEN_2,IMAGEN_3,IMAGEN_4,LICITACION_OFERTA_EMPRESA,LICITACION_ANIO,BENEFICIARIOS,COMPROMISO,LINK_INTERNO,PLIEGO_DESCARGA,
2020,Obra 228 B° EL REMANSO - 55 VIVIENDAS - DPTO SANTA LUCÍA,-30.505665788368941932950995855,-69.176912548057537914709148459,,VIVIENDA/HABITAT,137262041.23,En ejecución,VIVIENDA NUEVA,,Santa Lucía,,,3240,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,02/01/2020,27/12/2020,12,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2019,,,,,
2020,Obra 203 B° COCHAGUAL - 49 VIV. - DPTO. SARMIENTO,-30.032257315329436335271431871,-67.818009425715586256923900445,,VIVIENDA/HABITAT,93762871.1,En ejecución,VIVIENDA NUEVA,,Cochagual,,,3222,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,02/01/2020,28/10/2020,10,,,,,DAZ CONSTRUCCIONES  S.R.L.,2018,,,,,
2020,Obra 224 B° LOS NOGALES - 57 VIVIENDAS - DPTO. SANTA LUCIA,-30.792626197771956517454700154,-69.414103981616352984362866338,,VIVIENDA/HABITAT,65786228.78,En ejecución,VIVIENDA NUEVA,,Santa Lucía,,,3209,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,02/01/2020,28/10/2020,10,,,,,INGENIERO CESAR BORREGO  S.R.L.,2017,,,,,
2020,Obra 220 Refacción de la EPET Nº 1 Ing. Rogelio Boero - Departamento Capital,-31.867078395029772980574274367,-69.304000131078687316956663008,,ARQUITECTURA,11566371.26,En ejecución,EDIFICIOS EDUCATIVOS,,Capital,,,3243,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/01/2020,30/06/2020,6,,,,,BILBAO CONSTRUCCIONES  S.R.L.,2019,,,,,
2020,Obra 235 Ampliacion del ENI Nº 18 Gladis Noemi Peralta,-30.0529591470499060119529499,-68.605212573384027608725007642,,ARQUITECTURA,5202069.13,En ejecución,EDIFICIOS EDUCATIVOS,,Valle Fertil,,,3252,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,03/02/2020,02/07/2020,5,,,,,BCN INGENIERIA  S.R.L.,2019,,,,,
2020,Obra 226 AMPLIACIÓN DE LA ENI Nº 66 GRANADEROS DE SAN MARTIN DEPARTAMENTO 9 DE JULIO,-30.970467191565709377904780812,-67.622881542913571782071375986,,ARQUITECTURA,4498478.21,En ejecución,EDIFICIOS EDUCATIVOS,,9 de Julio,,,3228,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/01/2020,31/05/2020,5,,,,,ALADE CONSTRUCCIONES  S.R.L.,2019,,,,,
2020,Obra 236 Refacción de la ESC. TTE PEDRO NOLASCO FONSECA,-29.752029017183300008445404165,-69.387016602617415555572610337,,ARQUITECTURA,2295500.32,En ejecución,EDIFICIOS EDUCATIVOS,,Capital,,,3254,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,03/02/2020,02/06/2020,4,,,,,GRUPO MEC  S.R.L.,2019,,,,,
2019,Obra 178 CONJUNTO HABITACIONAL GRAN LIBERTADOR - 141 DEPARTAMENTOS - DPTO. RIVADAVIA,-29.667378909906590191681219401,-68.049606248543212245289412406,,VIVIENDA/HABITAT,404128171.25,En ejecución,MEJORAMIENTO DE VIVIENDAS,,Rivadavia,,5.88,3154,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,11/11/2019,03/05/2021,18,,,,,PERFIL  S.R.L.,2019,,,,,
2019,Obra 132 B° CUESTA DEL VIENTO IGLESIA - 129 VIVIENDAS - DPTO. IGLESIA,-29.984573826841879872231186778,-69.441940313493400339785020968,,VIVIENDA/HABITAT,299835338.28,En ejecución,VIVIENDA NUEVA,,Rodeo,,10.34,3053,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,02/08/2019,23/03/2021,20,,,,,ING. JULIO NACUSI CONSTRUCCIONES  S.R.L.,2019,,,,,
2019,Obra 87 B° GOBERNADOR CARLOS DONCEL - 198 VIV. DPTO. POCITO,-31.604303730445057082737523759,-67.828056767463532555590690642,,VIVIENDA/HABITAT,291668185.54,En ejecución,VIVIENDA NUEVA,,Villa Aberastain,,72.89,3058,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,04/02/2019,28/07/2020,18,,,,,PERFIL  S.R.L.,2018,,,,,
